symbol,company_name,year,pb,pe,ps,pb_peer_avg,pe_peer_avg,ps_peer_avg
BBCA.JK,PT Bank Central Asia Tbk.,2022,4.72115003747694,25.6154045827394,11.7267911271968,1.00852386298116,15.1292552726864,4.34357834686358
BBCA.JK,PT Bank Central Asia Tbk.,2023,4.78132899954144,23.8241347167633,11.3701497856392,0.83232965465001,14.0723342502017,3.89944781671295
BBCA.JK,PT Bank Central Asia Tbk.,2024,5.2500112713609,24.6189247616213,12.0910438994367,0.932091839711511,18.4025128202024,3.61350695366404
BBHI.JK,PT Allo Bank Indonesia Tbk,2020,5.05955639561351,47.445354083921,34.0099163309575,1.26242482560343,27.296475059198,6.37891855078523
BBHI.JK,PT Allo Bank Indonesia Tbk,2021,62.788169152847,425.1461228731,273.379949018966,1.46630589795505,15.0145590632269,6.3740557278722
BBHI.JK,PT Allo Bank Indonesia Tbk,2022,5.92238447645856,140.614526587885,50.2465348814436,1.00852386298116,15.1292552726864,4.34357834686358
BBHI.JK,PT Allo Bank Indonesia Tbk,2023,4.07142754999412,63.0549331808791,24.3459084394621,0.83232965465001,14.0723342502017,3.89944781671295
BBHI.JK,PT Allo Bank Indonesia Tbk,2024,3.05589547881305,50.4113965414542,18.0190026369993,0.932091839711511,18.4025128202024,3.61350695366404
BBKP.JK,PT Bank KB Bukopin Tbk,2020,2.21318672367382,-5.74127851174562,12.6378344026556,1.26242482560343,27.296475059198,6.37891855078523
BBKP.JK,PT Bank KB Bukopin Tbk,2021,1.3702428832182,-7.92859662306194,17.0195515566847,1.46630589795505,15.0145590632269,6.3740557278722
BBKP.JK,PT Bank KB Bukopin Tbk,2022,0.609191357289216,-1.35973234993416,4.52303964673181,1.00852386298116,15.1292552726864,4.34357834686358
BBKP.JK,PT Bank KB Bukopin Tbk,2023,1.06329305368297,-2.49102541522357,10.7018589648152,0.83232965465001,14.0723342502017,3.89944781671295
BBKP.JK,PT Bank KB Bukopin Tbk,2024,0.932091839711511,-2.94968058789391,9.44741258350151,0.932091839711511,18.4025128202024,3.61350695366404
BBMD.JK,PT Bank Mestika Dharma Tbk.,2020,1.51499165806783,18.6357890602948,6.61902364497449,1.26242482560343,27.296475059198,6.37891855078523
BBMD.JK,PT Bank Mestika Dharma Tbk.,2021,1.88772489288595,15.5856653450864,7.96851168511685,1.46630589795505,15.0145590632269,6.3740557278722
BBMD.JK,PT Bank Mestika Dharma Tbk.,2022,1.88564105425436,16.409738789992,7.89554045452706,1.00852386298116,15.1292552726864,4.34357834686358
BBMD.JK,PT Bank Mestika Dharma Tbk.,2023,1.64247715052275,19.3081748639695,7.70349755688311,0.83232965465001,14.0723342502017,3.89944781671295
BBMD.JK,PT Bank Mestika Dharma Tbk.,2024,1.70313244690041,20.7710841869336,8.19581521761235,0.932091839711511,18.4025128202024,3.61350695366404
BBNI.JK,PT Bank Negara Indonesia (Persero) Tbk,2020,1.03458928065172,34.7530471103703,2.09814065618114,1.26242482560343,27.296475059198,6.37891855078523
BBNI.JK,PT Bank Negara Indonesia (Persero) Tbk,2021,1.00712493615158,11.4345822064982,2.18333010470752,1.46630589795505,15.0145590632269,6.3740557278722
BBNI.JK,PT Bank Negara Indonesia (Persero) Tbk,2022,1.25400805054113,9.30064972503904,2.78003116447679,1.00852386298116,15.1292552726864,4.34357834686358
BBNI.JK,PT Bank Negara Indonesia (Persero) Tbk,2023,1.33387018136253,9.57725018419017,3.25176624092716,0.83232965465001,14.0723342502017,3.89944781671295
BBNI.JK,PT Bank Negara Indonesia (Persero) Tbk,2024,1.45923999420038,10.0435181716948,3.51305529497342,0.932091839711511,18.4025128202024,3.61350695366404
BBRI.JK,PT Bank Rakyat Indonesia (Persero) Tbk,2020,2.24404134373024,27.296475059198,3.90812024342799,1.26242482560343,27.296475059198,6.37891855078523
BBRI.JK,PT Bank Rakyat Indonesia (Persero) Tbk,2021,2.13579246128274,19.8501979232225,4.02599153256836,1.46630589795505,15.0145590632269,6.3740557278722
BBRI.JK,PT Bank Rakyat Indonesia (Persero) Tbk,2022,2.47654136988394,14.4852351105461,4.40613876244184,1.00852386298116,15.1292552726864,4.34357834686358
BBRI.JK,PT Bank Rakyat Indonesia (Persero) Tbk,2023,2.77373225214342,14.3700683214413,5.18776985111159,0.83232965465001,14.0723342502017,3.89944781671295
BBRI.JK,PT Bank Rakyat Indonesia (Persero) Tbk,2024,2.57571835116381,13.0490393546932,4.50135438134933,0.932091839711511,18.4025128202024,3.61350695366404
BBSI.JK,PT Krom Bank Indonesia Tbk,2020,2.46485817897824,70.7016147373209,37.8896371004601,1.26242482560343,27.296475059198,6.37891855078523
