symbol,company_name,year,tax,revenue,earnings,cash_only,total_debt,fixed_assets,gross_profit,total_assets,total_equity,operating_pnl,total_liabilities,current_liabilities,earnings_before_tax,cash_and_equivalents,total_cash_and_due_from_banks
BBMD.JK,PT Bank Mestika Dharma Tbk.,2021,145993000000.0,1016250000000,519580000000.0,,285601000000.0,,,15983152000000,4289820000000,670901000000.0,11693332000000,,665573000000,,916006000000.0
BBMD.JK,PT Bank Mestika Dharma Tbk.,2022,147331000000.0,1087196000000,523104000000.0,,747532000000.0,,,16583991000000,4552298000000,668859000000.0,12031693000000,,670435000000,,1298790000000.0
BBMD.JK,PT Bank Mestika Dharma Tbk.,2023,117978110000.0,1045517310000,417136270000.0,165845250000.0,,,,16054823610000,4903654240000,,11151169360000,,535114380000,,990157990000.0
BBNI.JK,PT Bank Negara Indonesia (Persero) Tbk,2018,4728952000000.0,51047223000000,15015118000000.0,,90868851000000.0,,,808572011000000,110373789000000,19599399000000.0,698198222000000,,19820715000000,,82928360000000.0
BBNI.JK,PT Bank Negara Indonesia (Persero) Tbk,2019,3860523000000.0,54118750000000,15384476000000.0,,74429667000000.0,,,845605208000000,125003948000000,19486623000000.0,720601260000000,,19369106000000,,92458524000000.0
BBNI.JK,PT Bank Negara Indonesia (Persero) Tbk,2020,1790711000000.0,54335728000000,3280403000000.0,,60082675000000.0,,,891337425000000,112872199000000,5231444000000.0,778465226000000,,5112153000000,,109953841000000.0
BBNI.JK,PT Bank Negara Indonesia (Persero) Tbk,2021,1573936000000.0,57077947000000,10898518000000.0,,68696385000000.0,,,964837692000000,126519977000000,12068950000000.0,838317715000000,,11852653000000,,152687392000000.0
BBNI.JK,PT Bank Negara Indonesia (Persero) Tbk,2022,4204928000000.0,61263342000000,18312054000000.0,,77040198000000.0,,,1029836868000000,140197662000000,21815803000000.0,889639206000000,,22686708000000,,145759525000000.0
BBNI.JK,PT Bank Negara Indonesia (Persero) Tbk,2023,4533510000000.0,61583542000000,20909476000000.0,11207201000000.0,46291280000000.0,,,1086663986000000,154732520000000,,931931466000000,,25639738000000,,144073360000000.0
BBRI.JK,PT Bank Rakyat Indonesia (Persero) Tbk,2018,9335208000000.0,98729001000000,32351133000000.0,,119631712000000.0,,,1296898292000000,185275331000000,35523560000000.0,1109714043000000,,41753694000000,,166922967000000.0
BBRI.JK,PT Bank Rakyat Indonesia (Persero) Tbk,2019,8950228000000.0,108387340000000,34372609000000.0,,138880741000000.0,,,1416758840000000,208784336000000,36380061000000.0,1207974504000000,,43364053000000,,202104930000000.0
BBRI.JK,PT Bank Rakyat Indonesia (Persero) Tbk,2020,8951971000000.0,130295121000000,18654753000000.0,,195651325000000.0,,,1610065344000000,229466882000000,29520730000000.0,1380598462000000,,29993406000000,,139789887000000.0
BBRI.JK,PT Bank Rakyat Indonesia (Persero) Tbk,2021,7835608000000.0,153174192000000,31066592000000.0,,167004561000000.0,,,1678097734000000,291786804000000,40509273000000.0,1386310930000000,,40992065000000,,131474664000000.0
BBRI.JK,PT Bank Rakyat Indonesia (Persero) Tbk,2022,13188494000000.0,168223027000000,51170312000000.0,,162817088000000.0,,,1865639010000000,303395317000000,64160242000000.0,1562243693000000,,64596701000000,,233531261000000.0
BBRI.JK,PT Bank Rakyat Indonesia (Persero) Tbk,2023,16004664000000.0,166475993000000,60099863000000.0,31603784000000.0,149849160000000.0,,,1965007030000000,316472142000000,,1648534888000000,,76429712000000,,192435481000000.0
BBSI.JK,PT Krom Bank Indonesia Tbk,2018,8597000000.0,53620000000,25644000000.0,,4418000000.0,,,866346000000,402093000000,34179000000.0,464253000000,,34240000000,,44978000000.0
BBSI.JK,PT Krom Bank Indonesia Tbk,2019,7434000000.0,48921000000,22262000000.0,,3912000000.0,,,955638000000,501440000000,29376000000.0,454198000000,,29696000000,,42354000000.0
BBSI.JK,PT Krom Bank Indonesia Tbk,2020,9940000000.0,65638000000,35176000000.0,,7312000000.0,,,1441234000000,1008983000000,45199000000.0,432252000000,,45116000000,,37250000000.0
BBSI.JK,PT Krom Bank Indonesia Tbk,2021,18918000000.0,106376000000,65718000000.0,,500000000.0,,,2477550000000,2074044000000,83376000000.0,403506000000,,84636000000,,116793000000.0
BBSI.JK,PT Krom Bank Indonesia Tbk,2022,21797000000.0,141619000000,74812000000.0,,,,,3313590000000,3065341000000,98645000000.0,248249000000,,96609000000,,101818000000.0
BBSI.JK,PT Krom Bank Indonesia Tbk,2023,39681690000.0,430646090000,132570190000.0,3803030000.0,,,,3638412540000,3195369480000,,443043060000,,172251880000,,155783450000.0
BBTN.JK,PT Bank Tabungan Negara (Persero) Tbk,2018,802352000000.0,11987713000000,2807923000000.0,,43088583000000.0,,,306436194000000,23840448000000,3599207000000.0,282595746000000,,3610275000000,,16661477000000.0
BBTN.JK,PT Bank Tabungan Negara (Persero) Tbk,2019,201799000000.0,10935742000000,209263000000.0,,53704528000000.0,,,311776828000000,23836195000000,529105000000.0,287940633000000,,411062000000,,16881496000000.0
